time,open,high,low,close
2012-11-26,12.48211,12.68778,11.89,12.50004
2012-12-03,12.50202,13.59,12.42,13.29
2012-12-10,13.388,13.90119,13,13.30002
2012-12-17,13.3,13.72,12.74919,13.31202
2012-12-24,13.3718,13.67,13.14,13.45001
2012-12-31,13.39112,13.561,13.16123,13.45395
2013-01-07,13.51394,14.34999,13.404,14.11601
2013-01-14,14.19,15.985,13.99178,15.7
2013-01-21,15.7,19.18999,15.38613,17.81821
2013-01-28,17.81821,21.43,17.75,20.59
2013-02-04,20.59999,24.11,19.85502,23.96975
2013-02-11,23.96975,27.5969,21.721,26.8146
2013-02-18,26.89999,31.3,26.36268,29.88999
2013-02-25,29.89,34.9,29.55,34.49999
2013-03-04,34.49999,49.099,33.3,46
2013-03-11,46,48.469,36.65,47.4
2013-03-18,47.4,74.9,47.12009,71.5
2013-03-25,71.50001,95.7,69.51777,93.03001
2013-04-01,93.25,164.9,92.2361,162.30102
2013-04-08,163.83899,266,54.25,89.99999
2013-04-15,90,136.4321,50.01,119.2
2013-04-22,118.5,166.43438,118.5,134.44444
2013-04-29,134.4,149.08,79,115.98
2013-05-06,115.9372,124.9,97.52,114.82002
2013-05-13,114.82,125.5555,103.01847,122.5
2013-05-20,122.5,136,120.1,133.5
2013-05-27,133.5,135.47,115,122.5
2013-06-03,122.49962,123.99,88,100.43743
2013-06-10,101,112.25,95,99.9
2013-06-17,99.9,115.005,98.9,108.2
2013-06-24,107.60002,109.98,92.25,97.51
2013-07-01,97.50888,98.1801,65.42448,76.5
2013-07-08,76.5,104.17188,72.46,94.41986
2013-07-15,94.33999,101.94,86.2,91.998
2013-07-22,91.98,100.5771,89.8,98.78002
2013-07-29,98.78009,111.65202,98.45,105.12
2013-08-05,105.12,107.77,100.95969,105
2013-08-12,105,115,103.5,113.38
2013-08-19,113.395,125,111.771,122.11102
2013-08-26,122.111,148.7,119.91611,146.01003
2013-09-02,146.01005,148.90893,121.25,126.31501
2013-09-09,126.31502,145.9,124,138.3002
2013-09-16,138.4,142.23,131,134.00001
2013-09-23,134.9,145.81,132,143.88402
2013-09-30,143.89402,145.81,109.7,137.8
2013-10-07,137.01002,147.65,135.12,147.53
2013-10-14,147.53,195.83267,144.20004,186.12
2013-10-21,186.12,233.4,175.30001,207.0001
2013-10-28,207.5,226.959,200.42,224.01001
2013-11-04,224.7,395,222,336.33101
2013-11-11,341.0302,536.777,321.41,528.31991
2013-11-18,528,900.97998,453.29,795
2013-11-25,795.00166,1242,758.95852,1004.42392
2013-12-02,1005,1240,576,804.00001
2013-12-09,810.98,1067.99999,787.75,920
2013-12-16,916,925,455,629
2013-12-23,629,764,617.61,728.3
2013-12-30,726.38,939.8,710.02,910
2014-01-06,909.71,995,765,827.24
2014-01-13,827.24,850.25,765.03,835.9
2014-01-20,836,844.99,767.23,812.5
2014-01-27,812.7,829,726.5,814
2014-02-03,812.05,829,620,694
2014-02-10,693.5,721.35,450.13,625
2014-02-17,625,664,530,607
2014-02-24,606.9999,609,400,565.37191
2014-03-03,566,719.25,563,638.5
2014-03-10,638.52,654,606,633
2014-03-17,632,632.5,550.09,558
2014-03-24,557.8884,593.25,436.2,460.9999
2014-03-31,460.6,513.9,415.46,458.78
2014-04-07,458.5,461,340,418
2014-04-14,417.6,547,406.4,500.9501
2014-04-21,501.3551,515.646,427.55,429.99
2014-04-28,429.99,463.53,423.11,435.0413
2014-05-05,438.587999,459.65,419.4,437.97
2014-05-12,437.45,453,431.8,447.4
2014-05-19,447.6,586,444.1,573.99
2014-05-26,574.55,680,551,626.42
2014-06-02,631.97,685,615,658.7
2014-06-09,658.7,672,522.15,593.89
2014-06-16,593.61,619.6,582.1,603.4
2014-06-23,603.39,607.21,560.53,601.95
2014-06-30,601.5,665,598.4,637.38
2014-07-07,637.76,642.79,608.43,629.49
2014-07-14,629.6,633.6,611.21,624
2014-07-21,624,624.95,589,591.55
2014-07-28,591.5,605.72,561.47,585.71
2014-08-04,587,598.88,574.01,588.61
2014-08-11,587.97,588.7,451,497.4
2014-08-18,497.57,534.89,443,510.82
2014-08-25,511.41,522.8,471.65,477.81
2014-09-01,477.84,497.24,468.82,479.88
2014-09-08,479.88,489.99,463,476.5
2014-09-15,477.12,480.3,381.5,399.21
2014-09-22,400.03,447.11,365,376.7
2014-09-29,375.93,398.7,275,319.9
2014-10-06,319.9,387.13,301,378.05
2014-10-13,378.05,414.42,368.24,388.02
2014-10-20,388.08,394,337.65,353.01
2014-10-27,353.07,359.47,315.54,323.82
2014-11-03,323.8,364.12,321,362.61
2014-11-10,362.6,475,356.33,391.65
2014-11-17,391.8,413.48,340,368.25
2014-11-24,368,396.87,355.51,379.89
2014-12-01,379.67,387.99,366.1,376.02
2014-12-08,376.29,378.34,335.7,353.65
2014-12-15,353.7,354.6,302.32,320.79
2014-12-22,321.19,337.79,310,316.94
2014-12-29,316.96,322.9,255.03,264.19
2015-01-05,264.04,303.33,263.75,267.27
2015-01-12,267.54,274.44,166.45,211.03
2015-01-19,210.98,259.39,203.7,254.73
2015-01-26,254.72,315,211.02,226.92
2015-02-02,226.86,248.42,210.12,223.85
2015-02-09,224.13,268.54,214,235.88
2015-02-16,235.34,248.98,228.62,236.5
2015-02-23,236.5,266.91,232.61,262.4
2015-03-02,262.47,294,258.98,275.59
2015-03-09,275.58,303.96,275.01,286.9
2015-03-16,286.71,295.2,246.98,268.82
2015-03-23,268.6,271.5,235.7,242.74
2015-03-30,242.9,261.25,236.24,260.5
2015-04-06,260.75,262.45,230.75,236.38
2015-04-13,236.21,237.7,216.37,222.16
2015-04-20,222.28,238.99,213.92,219.7
2015-04-27,219.73,243.73,218.24,240.57
2015-05-04,240.69,249.22,226.42,240.73
2015-05-11,240.8,245.49,232.1,236.15
2015-05-18,236.25,242.98,229,240.96
2015-05-25,240.92,241.12,227,228.7
2015-06-01,228.38,230.89,219.71,223.26
2015-06-08,223.29,235.44,223.25,233.54
2015-06-15,233.5,259.1,233.35,244.25
2015-06-22,244.25,252.06,239,248.71
2015-06-29,248.71,275.88,248.57,271.96
2015-07-06,271.82,316.23,262.61,311.14
2015-07-13,311.14,312,272,275.04
2015-07-20,275.04,294.57,273.5,293.01
2015-07-27,293,298.93,276.26,282.44
2015-08-03,282.44,287.05,260.62,265.58
2015-08-10,265.69,273.75,256.5,259.9
2015-08-17,259.9,262.37,162,228.53
2015-08-24,228.1,238.9,196.6,229.99
2015-08-31,229.99,248.48,225.31,240.97
2015-09-07,241,247.68,228.95,230.96
2015-09-14,231.11,236.26,227.33,232.12
2015-09-21,232.11,237.7,224.25,233.37
2015-09-28,233.37,241.5,233.37,239.5
2015-10-05,239.47,249.01,236.24,247.99
2015-10-12,247.92,275.19,244,265.01
2015-10-19,265.29,295.99,262.35,284.79
2015-10-26,284.7,336,282.25,330.23
2015-11-02,330.23,504,326.8,374.1
2015-11-09,374.52,388.99,300.28,320.52
